Food Name,Carbohydrates (g),Proteins (g),Fats (g),Calories (kcal),Diet Category
Lentils,23.7,26.8,11.9,309.1,Protein-Rich
Peanuts,73.6,35.0,24.6,655.8,Carb-Rich
Paneer,75.4,46.6,32.2,777.8,Carb-Rich
Beans,8.4,11.8,15.2,217.6,Fat-Rich
Milk,2.2,44.7,8.5,264.1,Protein-Rich
Banana,13.4,18.6,16.7,278.3,Protein-Rich
Rice,11.5,37.7,13.8,321.0,Protein-Rich
Sweet Potato,10.0,19.9,29.8,387.8,Fat-Rich
Sweet Potato,48.1,43.3,11.8,471.8,Carb-Rich
Paneer,63.4,26.9,30.8,638.4,Carb-Rich
Oats,3.4,23.2,11.7,211.7,Protein-Rich
Peanuts,72.0,39.8,17.6,605.6,Carb-Rich
Chicken,0.6,44.3,1.8,195.8,Protein-Rich
Banana,59.1,10.4,16.4,425.6,Carb-Rich
Chicken,1.4,41.5,30.1,442.5,Protein-Rich
Chicken,66.6,7.2,12.3,405.9,Carb-Rich
Almonds,28.6,10.0,8.8,233.6,Carb-Rich
Banana,77.6,40.3,4.0,507.6,Carb-Rich
Yogurt,73.8,41.1,27.3,705.3,Carb-Rich
Oats,60.4,23.5,34.2,643.4,Carb-Rich
Salmon,27.9,43.5,26.1,520.5,Protein-Rich
Cheese,28.2,45.2,34.5,604.1,Protein-Rich
Chicken,3.6,35.7,21.2,348.0,Protein-Rich
Banana,78.9,19.4,24.7,615.5,Carb-Rich
Sweet Potato,72.6,1.9,31.6,582.4,Carb-Rich
Quinoa,1.9,7.0,33.7,338.9,Fat-Rich
Banana,22.9,29.4,2.0,227.2,Protein-Rich
Peanuts,17.4,8.9,32.2,395.0,Fat-Rich
Cheese,34.4,10.3,28.0,430.8,Carb-Rich
Chicken,21.2,13.1,36.9,469.3,Fat-Rich
Avocado,73.5,22.1,31.4,665.0,Carb-Rich
Yogurt,4.0,4.3,9.7,120.5,Fat-Rich
Banana,55.7,7.2,8.3,326.3,Carb-Rich
Salmon,36.1,29.9,36.6,593.4,Fat-Rich
Beans,55.8,9.4,7.0,323.8,Carb-Rich
Salmon,0.9,17.0,27.1,315.5,Fat-Rich
Yogurt,14.4,30.3,25.0,403.8,Protein-Rich
Tofu,41.9,29.8,25.2,513.6,Carb-Rich
Quinoa,25.4,19.2,34.7,490.7,Fat-Rich
Chicken,36.6,16.5,5.4,261.0,Carb-Rich
Peanuts,78.0,4.6,16.1,475.3,Carb-Rich
Rice,39.4,48.7,39.2,705.2,Protein-Rich
Lentils,48.2,1.1,2.8,222.4,Carb-Rich
Almonds,50.5,3.2,11.7,320.1,Carb-Rich
Lentils,47.0,44.0,12.1,472.9,Carb-Rich
Rice,13.4,37.8,25.1,430.7,Protein-Rich
Salmon,42.5,35.9,12.1,422.5,Carb-Rich
Rice,77.8,19.1,22.1,586.5,Carb-Rich
Rice,4.0,46.8,28.3,457.9,Protein-Rich
Sweet Potato,19.3,31.0,10.6,296.6,Protein-Rich
Apple,3.1,4.1,26.8,270.0,Fat-Rich
Milk,34.0,16.9,27.0,446.6,Carb-Rich
Lentils,41.7,13.9,25.9,455.5,Carb-Rich
Milk,46.6,27.9,28.9,558.1,Carb-Rich
Apple,54.4,28.4,22.3,531.9,Carb-Rich
Chicken,43.2,6.9,38.6,547.8,Carb-Rich
Cheese,79.1,19.6,13.7,518.1,Carb-Rich
Lentils,9.2,25.6,14.4,268.8,Protein-Rich
Banana,49.4,13.4,37.1,585.1,Carb-Rich
Tofu,68.0,10.3,18.3,477.9,Carb-Rich
Cheese,4.7,15.3,25.2,306.8,Fat-Rich
Tofu,51.9,13.2,9.9,349.5,Carb-Rich
Oats,5.3,2.2,30.8,307.2,Fat-Rich
Cheese,74.8,27.8,30.3,683.1,Carb-Rich
Quinoa,75.2,12.4,24.3,569.1,Carb-Rich
Almonds,30.1,31.3,34.6,557.0,Fat-Rich
Quinoa,12.9,12.4,5.3,148.9,Carb-Rich
Lentils,21.6,7.1,31.7,400.1,Fat-Rich
Peanuts,18.9,39.2,13.9,357.5,Protein-Rich
Avocado,21.5,41.4,9.4,336.2,Protein-Rich
Yogurt,7.5,8.4,11.1,163.5,Fat-Rich
Milk,9.5,21.5,25.7,355.3,Fat-Rich
Paneer,36.2,13.9,37.1,534.3,Fat-Rich
Eggs,22.4,42.8,28.4,516.4,Protein-Rich
Salmon,59.0,2.9,32.5,540.1,Carb-Rich
Apple,34.5,3.2,27.0,393.8,Carb-Rich
Salmon,56.8,12.0,30.6,550.6,Carb-Rich
Lentils,22.2,8.3,36.7,452.3,Fat-Rich
Quinoa,55.5,13.4,16.3,422.3,Carb-Rich
Milk,27.4,3.7,0.9,132.5,Carb-Rich
Rice,46.8,22.4,29.6,543.2,Carb-Rich
Paneer,25.9,41.7,4.5,310.9,Protein-Rich
Banana,40.5,16.8,6.5,287.7,Carb-Rich
Eggs,51.4,9.5,16.2,389.4,Carb-Rich
Milk,66.8,36.5,5.1,459.1,Carb-Rich
Milk,34.7,46.6,19.6,501.6,Protein-Rich
Avocado,27.5,6.5,0.4,139.6,Carb-Rich
Quinoa,11.9,15.4,9.7,196.5,Protein-Rich
Peanuts,72.0,24.9,16.7,537.9,Carb-Rich
Tofu,61.9,44.3,30.2,696.6,Carb-Rich
Peanuts,79.1,23.7,39.0,762.2,Carb-Rich
Eggs,13.4,39.4,12.5,323.7,Protein-Rich
Chicken,6.7,37.0,13.8,299.0,Protein-Rich
Almonds,22.3,19.4,28.7,425.1,Fat-Rich
Banana,72.8,6.8,5.8,370.6,Carb-Rich
Peanuts,41.0,23.1,5.3,304.1,Carb-Rich
Beans,66.0,27.1,37.9,713.5,Carb-Rich
Apple,57.6,6.0,37.4,591.0,Carb-Rich
Bread,37.4,41.3,4.6,356.2,Protein-Rich
Almonds,7.9,25.4,0.3,135.9,Protein-Rich
Quinoa,38.8,32.4,5.1,330.7,Carb-Rich
Rice,54.1,29.1,19.8,511.0,Carb-Rich
Rice,62.0,7.4,24.6,499.0,Carb-Rich
Apple,59.5,38.4,2.1,410.5,Carb-Rich
Lentils,55.4,4.5,13.2,358.4,Carb-Rich
Lentils,48.7,36.8,8.0,414.0,Carb-Rich
Banana,31.7,34.4,22.1,463.3,Protein-Rich
Almonds,76.9,18.9,25.9,616.3,Carb-Rich
Tofu,65.0,45.2,28.9,700.9,Carb-Rich
Almonds,77.6,32.2,0.5,443.7,Carb-Rich
Oats,17.4,7.0,33.1,395.5,Fat-Rich
Bread,76.3,27.4,26.5,653.3,Carb-Rich
Yogurt,79.4,12.0,17.3,521.3,Carb-Rich
Beans,27.0,29.7,36.9,558.9,Fat-Rich
Tofu,76.5,3.1,6.2,374.2,Carb-Rich
Salmon,55.1,34.9,18.3,524.7,Carb-Rich
Avocado,74.2,16.6,38.4,708.8,Carb-Rich
Almonds,56.1,9.0,29.8,528.6,Carb-Rich
Tofu,75.7,29.5,2.8,446.0,Carb-Rich
Banana,41.5,0.7,18.1,331.7,Carb-Rich
Banana,77.3,41.7,16.3,622.7,Carb-Rich
Sweet Potato,18.7,3.5,33.5,390.3,Fat-Rich
Avocado,36.4,28.7,4.5,300.9,Carb-Rich
Oats,60.2,21.2,16.6,475.0,Carb-Rich
Salmon,11.8,49.0,10.1,334.1,Protein-Rich
Oats,45.8,37.3,5.4,381.0,Carb-Rich
Banana,19.4,27.0,19.4,360.2,Protein-Rich
Apple,49.1,25.2,13.7,420.5,Carb-Rich
Bread,12.2,36.2,25.2,420.4,Protein-Rich
Chicken,31.5,35.5,39.9,627.1,Fat-Rich
Quinoa,67.7,25.6,33.6,675.6,Carb-Rich
Milk,23.7,45.6,3.5,308.7,Protein-Rich
Paneer,12.2,15.9,1.0,121.4,Protein-Rich
Eggs,74.1,34.6,20.9,622.9,Carb-Rich
Rice,49.1,41.1,32.2,650.6,Carb-Rich
Bread,39.6,38.7,38.4,658.8,Carb-Rich
Sweet Potato,46.3,46.6,8.2,445.4,Protein-Rich
Apple,34.6,39.5,17.1,450.3,Protein-Rich
Peanuts,33.5,47.9,13.3,445.3,Protein-Rich
Quinoa,48.7,3.8,15.0,345.0,Carb-Rich
Bread,44.7,35.0,2.6,342.2,Carb-Rich
Cheese,51.9,39.3,7.1,428.7,Carb-Rich
Tofu,42.8,5.5,37.1,527.1,Carb-Rich
Banana,57.5,47.0,16.0,562.0,Carb-Rich
Chicken,31.0,20.3,32.3,495.9,Fat-Rich
Banana,79.4,16.5,17.1,537.5,Carb-Rich
Lentils,7.3,28.7,5.1,189.9,Protein-Rich
Salmon,74.5,15.6,23.5,571.9,Carb-Rich
Tofu,63.7,42.8,7.3,491.7,Carb-Rich
Eggs,55.6,15.1,23.0,489.8,Carb-Rich
Oats,17.2,33.6,16.1,348.1,Protein-Rich
Sweet Potato,5.6,4.6,15.6,181.2,Fat-Rich
Cheese,15.7,48.8,15.0,393.0,Protein-Rich
Tofu,71.6,24.4,19.0,555.0,Carb-Rich
Banana,48.6,12.8,28.9,505.7,Carb-Rich
Cheese,50.9,45.3,30.8,662.0,Carb-Rich
Salmon,50.1,5.1,33.0,517.8,Carb-Rich
Eggs,31.1,21.7,16.8,362.4,Carb-Rich
Quinoa,15.4,14.4,18.2,283.0,Fat-Rich
Bread,75.4,1.3,27.9,557.9,Carb-Rich
Apple,77.2,41.1,20.2,655.0,Carb-Rich
Peanuts,75.7,17.9,10.1,465.3,Carb-Rich
Milk,69.5,25.7,16.9,532.9,Carb-Rich
Paneer,15.0,5.6,29.5,347.9,Fat-Rich
Beans,78.8,23.0,26.5,645.7,Carb-Rich
Peanuts,31.8,13.3,39.4,535.0,Fat-Rich
Peanuts,4.1,9.3,26.6,293.0,Fat-Rich
Chicken,36.4,49.8,5.7,396.1,Protein-Rich
Tofu,61.4,27.3,0.8,362.0,Carb-Rich
Peanuts,11.4,29.1,2.9,188.1,Protein-Rich
Eggs,12.7,26.5,17.1,310.7,Protein-Rich
Avocado,54.8,30.2,7.5,407.5,Carb-Rich
Oats,58.9,0.4,18.3,401.9,Carb-Rich
Paneer,4.1,45.8,13.1,317.5,Protein-Rich
Lentils,78.9,0.6,33.7,621.3,Carb-Rich
Eggs,18.4,19.9,37.0,486.2,Fat-Rich
Rice,30.8,34.2,9.7,347.3,Protein-Rich
Oats,2.0,36.2,29.2,415.6,Protein-Rich
Avocado,70.0,2.1,7.3,354.1,Carb-Rich
Oats,24.0,14.1,9.8,240.6,Carb-Rich
Almonds,14.7,39.3,36.6,545.4,Protein-Rich
Beans,12.1,10.8,28.9,351.7,Fat-Rich
Paneer,74.8,30.0,8.8,498.4,Carb-Rich
Rice,47.0,10.9,17.9,392.7,Carb-Rich
Apple,58.0,33.9,29.1,629.5,Carb-Rich
Cheese,15.2,7.1,16.3,235.9,Fat-Rich
Eggs,26.1,20.6,0.4,190.4,Carb-Rich
Tofu,30.3,19.6,33.5,501.1,Fat-Rich
Chicken,73.7,27.3,1.2,414.8,Carb-Rich
Eggs,39.2,7.4,11.2,287.2,Carb-Rich
Cheese,62.8,37.3,9.9,489.5,Carb-Rich
Banana,26.7,22.5,38.6,544.2,Fat-Rich
Oats,22.1,39.7,6.1,302.1,Protein-Rich
Tofu,0.8,18.6,3.4,108.2,Protein-Rich
Paneer,57.9,24.0,7.8,397.8,Carb-Rich
Beans,49.5,28.1,15.7,451.7,Carb-Rich
Lentils,70.8,23.8,20.5,562.9,Carb-Rich
Apple,66.3,41.2,13.5,551.5,Carb-Rich
Paneer,25.0,8.0,3.3,161.7,Carb-Rich
Avocado,5.7,13.7,14.2,205.4,Fat-Rich
Apple,4.7,24.5,13.8,241.0,Protein-Rich
Sweet Potato,50.1,27.0,25.8,540.6,Carb-Rich
Oats,77.8,4.9,7.9,401.9,Carb-Rich
Apple,38.6,37.3,28.7,561.9,Carb-Rich
Apple,79.3,5.1,3.7,370.9,Carb-Rich
Oats,54.9,16.4,20.5,469.7,Carb-Rich
Milk,50.8,1.8,16.8,361.6,Carb-Rich
Sweet Potato,14.3,41.0,3.6,253.6,Protein-Rich
Eggs,64.0,36.6,26.8,643.6,Carb-Rich
Avocado,25.0,34.7,32.9,534.9,Protein-Rich
Sweet Potato,4.7,10.3,32.7,354.3,Fat-Rich
Eggs,49.7,36.9,4.3,385.1,Carb-Rich
Quinoa,78.8,26.9,23.4,633.4,Carb-Rich
Apple,3.3,8.3,23.5,257.9,Fat-Rich
Banana,25.9,18.0,3.8,209.8,Carb-Rich
Yogurt,27.6,2.5,24.0,336.4,Carb-Rich
Rice,6.4,26.2,36.2,456.2,Fat-Rich
Lentils,12.3,26.2,0.9,162.1,Protein-Rich
Lentils,39.9,24.1,23.6,468.4,Carb-Rich
Oats,2.3,19.8,31.8,374.6,Fat-Rich
Beans,0.4,22.0,7.5,157.1,Protein-Rich
Apple,7.3,39.8,10.4,282.0,Protein-Rich
Apple,47.8,21.3,15.6,416.8,Carb-Rich
Quinoa,33.5,46.0,17.5,475.5,Protein-Rich
Tofu,19.5,40.1,30.1,509.3,Protein-Rich
Almonds,51.4,0.4,27.7,456.5,Carb-Rich
Cheese,61.2,47.5,39.5,790.3,Carb-Rich
Almonds,37.5,49.1,2.7,370.7,Protein-Rich
Almonds,34.6,28.5,14.9,386.5,Carb-Rich
Sweet Potato,4.4,24.9,32.3,407.9,Fat-Rich
Apple,56.4,11.2,5.2,317.2,Carb-Rich
Paneer,32.3,36.5,8.6,352.6,Protein-Rich
Tofu,28.3,35.1,37.9,594.7,Fat-Rich
Lentils,53.1,11.0,7.2,321.2,Carb-Rich
Peanuts,44.9,9.7,17.1,372.3,Carb-Rich
Tofu,13.3,40.0,27.4,459.8,Protein-Rich
Avocado,24.0,38.7,7.7,320.1,Protein-Rich
Lentils,77.5,24.8,11.7,514.5,Carb-Rich
Milk,72.5,31.5,3.9,451.1,Carb-Rich
Paneer,75.0,35.4,30.4,715.2,Carb-Rich
Milk,68.0,41.1,39.7,793.7,Carb-Rich
Sweet Potato,15.1,36.1,30.0,474.8,Protein-Rich
Chicken,63.5,11.1,32.5,590.9,Carb-Rich
Eggs,33.5,1.3,27.7,388.5,Carb-Rich
Cheese,71.3,38.8,3.3,470.1,Carb-Rich
Peanuts,17.9,12.2,1.9,137.5,Carb-Rich
Chicken,14.0,1.3,0.7,67.5,Carb-Rich
Oats,77.5,38.4,30.4,737.2,Carb-Rich
Beans,75.6,41.5,3.3,498.1,Carb-Rich
Milk,29.3,45.1,27.9,548.7,Protein-Rich
Yogurt,41.7,28.6,10.2,373.0,Carb-Rich
Avocado,55.8,0.3,32.1,513.3,Carb-Rich
Paneer,40.1,24.7,38.7,607.5,Carb-Rich
Sweet Potato,48.3,4.8,18.2,376.2,Carb-Rich
Paneer,17.5,13.6,6.3,181.1,Carb-Rich
Peanuts,34.8,16.7,4.2,243.8,Carb-Rich
Quinoa,9.2,15.6,9.4,183.8,Protein-Rich
Bread,14.3,40.0,29.4,481.8,Protein-Rich
Rice,61.9,19.6,39.6,682.4,Carb-Rich
Banana,47.6,36.5,9.7,423.7,Carb-Rich
Beans,52.6,11.4,28.8,515.2,Carb-Rich
Avocado,41.3,23.6,36.2,585.4,Carb-Rich
Peanuts,47.3,9.6,35.1,543.5,Carb-Rich
Peanuts,27.2,45.9,4.6,333.8,Protein-Rich
Cheese,6.8,39.2,14.5,314.5,Protein-Rich
Sweet Potato,45.4,32.4,23.0,518.2,Carb-Rich
Milk,49.7,14.2,37.1,589.5,Carb-Rich
Quinoa,76.1,2.9,5.8,368.2,Carb-Rich
Banana,10.8,38.7,8.0,270.0,Protein-Rich
Almonds,19.6,38.2,31.3,512.9,Protein-Rich
Rice,6.0,7.4,37.4,390.2,Fat-Rich
Milk,3.4,1.1,1.1,27.9,Carb-Rich
Avocado,62.4,22.2,27.2,583.2,Carb-Rich
Paneer,70.4,14.6,8.3,414.7,Carb-Rich
Cheese,66.1,13.3,20.7,503.9,Carb-Rich
Beans,68.1,28.6,34.6,698.2,Carb-Rich
Sweet Potato,17.3,39.8,0.6,233.8,Protein-Rich
Tofu,51.6,23.9,30.4,575.6,Carb-Rich
Avocado,16.4,36.2,3.8,244.6,Protein-Rich
Almonds,20.1,39.4,12.9,354.1,Protein-Rich
Bread,76.5,13.7,35.5,680.3,Carb-Rich
Milk,51.9,16.9,38.3,619.9,Carb-Rich
Eggs,76.4,8.4,1.4,351.8,Carb-Rich
Bread,28.1,14.8,36.5,500.1,Fat-Rich
Rice,44.8,14.9,4.3,277.5,Carb-Rich
Quinoa,62.2,39.8,2.8,433.2,Carb-Rich
Banana,8.3,31.3,8.9,238.5,Protein-Rich
Tofu,25.3,3.0,2.9,139.3,Carb-Rich
Rice,55.1,4.9,9.3,323.7,Carb-Rich
Peanuts,63.0,11.7,38.1,641.7,Carb-Rich
Tofu,3.1,41.0,9.8,264.6,Protein-Rich
Milk,2.7,12.0,35.0,373.8,Fat-Rich
Chicken,44.7,44.0,23.6,567.2,Carb-Rich
Almonds,68.0,32.3,14.6,532.6,Carb-Rich
Quinoa,79.0,23.7,12.1,519.7,Carb-Rich
Almonds,70.1,19.7,11.2,460.0,Carb-Rich
Bread,46.6,40.8,25.3,577.3,Carb-Rich
Salmon,14.5,11.2,4.0,138.8,Carb-Rich
Rice,11.2,44.3,17.9,383.1,Protein-Rich
Oats,52.4,35.8,28.0,604.8,Carb-Rich
Chicken,11.8,7.2,24.5,296.5,Fat-Rich
Avocado,11.7,21.6,19.8,311.4,Protein-Rich
Oats,70.1,44.5,4.6,499.8,Carb-Rich
Banana,17.0,34.7,36.8,538.0,Fat-Rich
Milk,38.8,5.9,22.5,381.3,Carb-Rich
Lentils,31.1,29.6,14.9,376.9,Carb-Rich
Oats,33.3,16.3,31.0,477.4,Carb-Rich
Yogurt,59.1,21.4,16.0,466.0,Carb-Rich
Salmon,50.8,8.4,7.3,302.5,Carb-Rich
Almonds,52.2,23.3,16.5,450.5,Carb-Rich
Chicken,52.7,31.9,32.1,627.3,Carb-Rich
Yogurt,55.5,48.0,32.3,704.7,Carb-Rich
Yogurt,44.7,18.3,38.1,594.9,Carb-Rich
Bread,32.8,19.6,12.1,318.5,Carb-Rich
Quinoa,44.5,7.9,26.9,451.7,Carb-Rich
Chicken,3.7,36.5,33.0,457.8,Protein-Rich
Salmon,28.9,36.3,9.5,346.3,Protein-Rich
Quinoa,72.3,40.8,29.1,714.3,Carb-Rich
Yogurt,15.0,24.9,10.1,250.5,Protein-Rich
Apple,48.6,25.2,33.6,597.6,Carb-Rich
Lentils,71.1,16.4,1.8,366.2,Carb-Rich
Oats,21.6,29.5,34.4,514.0,Fat-Rich
Tofu,75.1,16.8,34.8,680.8,Carb-Rich
Banana,55.2,29.0,8.4,412.4,Carb-Rich
Cheese,43.5,42.3,10.9,441.3,Carb-Rich
Milk,22.7,30.9,7.5,281.9,Protein-Rich
Oats,69.0,2.9,36.8,618.8,Carb-Rich
Eggs,42.8,1.2,11.0,275.0,Carb-Rich
Lentils,0.6,5.2,33.7,326.5,Fat-Rich
Yogurt,70.8,26.0,13.3,506.9,Carb-Rich
Tofu,66.2,14.0,35.1,636.7,Carb-Rich
Peanuts,25.0,41.8,32.1,556.1,Protein-Rich
Yogurt,19.3,46.1,15.3,399.3,Protein-Rich
Chicken,32.9,22.3,18.3,385.5,Carb-Rich
Quinoa,7.6,47.1,20.7,405.1,Protein-Rich
Almonds,9.8,24.1,11.9,242.7,Protein-Rich
Salmon,21.7,20.7,26.8,410.8,Fat-Rich
Peanuts,9.7,13.7,21.4,286.2,Fat-Rich
Quinoa,36.1,42.3,22.6,517.0,Protein-Rich
Tofu,18.1,26.1,27.5,424.3,Fat-Rich
Salmon,19.9,19.0,20.9,343.7,Fat-Rich
Beans,32.7,4.2,7.5,215.1,Carb-Rich
Eggs,39.5,30.0,15.4,416.6,Carb-Rich
Cheese,1.8,40.7,14.2,297.8,Protein-Rich
Beans,80.0,33.9,2.9,481.7,Carb-Rich
Paneer,7.8,25.3,25.0,357.4,Protein-Rich
Oats,73.1,41.6,19.3,632.5,Carb-Rich
Milk,55.2,38.7,27.3,621.3,Carb-Rich
Eggs,79.9,24.3,21.9,613.9,Carb-Rich
Paneer,46.1,6.0,27.8,458.6,Carb-Rich
Peanuts,74.6,35.0,21.7,633.7,Carb-Rich
Tofu,14.7,42.0,16.0,370.8,Protein-Rich
Avocado,71.0,5.2,29.0,565.8,Carb-Rich
Almonds,23.2,30.2,20.7,399.9,Protein-Rich
Peanuts,64.8,46.9,6.4,504.4,Carb-Rich
Yogurt,48.3,30.8,30.5,590.9,Carb-Rich
Paneer,14.6,12.5,6.9,170.5,Carb-Rich
Avocado,33.5,25.7,17.0,389.8,Carb-Rich
Banana,61.5,35.0,13.5,507.5,Carb-Rich
Quinoa,45.5,32.5,18.0,474.0,Carb-Rich
Quinoa,72.1,24.3,25.5,615.1,Carb-Rich
Sweet Potato,11.0,27.0,36.7,482.3,Fat-Rich
Eggs,48.5,15.2,3.1,282.7,Carb-Rich
Eggs,42.5,35.4,30.6,587.0,Carb-Rich
Yogurt,49.0,6.3,4.1,258.1,Carb-Rich
Chicken,37.9,24.4,25.6,479.6,Carb-Rich
Peanuts,62.7,35.9,25.7,625.7,Carb-Rich
Chicken,13.7,2.3,28.7,322.3,Fat-Rich
Quinoa,57.8,3.6,30.5,520.1,Carb-Rich
Lentils,3.3,47.0,27.2,446.0,Protein-Rich
Peanuts,55.9,32.2,7.8,422.6,Carb-Rich
Rice,22.0,21.5,31.0,453.0,Fat-Rich
Oats,43.4,5.9,15.6,337.6,Carb-Rich
Avocado,31.7,38.7,11.5,385.1,Protein-Rich
Cheese,48.4,46.0,16.2,523.4,Carb-Rich
Peanuts,70.4,7.4,37.0,644.2,Carb-Rich
Tofu,39.3,37.5,24.6,528.6,Carb-Rich
Eggs,42.3,12.6,10.1,310.5,Carb-Rich
Quinoa,34.5,0.7,7.1,204.7,Carb-Rich
Oats,61.5,0.4,22.4,449.2,Carb-Rich
Oats,73.9,37.2,27.1,688.3,Carb-Rich
Paneer,54.7,49.4,3.6,448.8,Carb-Rich
Beans,24.3,25.7,20.1,380.9,Protein-Rich
Eggs,71.0,10.4,5.2,372.4,Carb-Rich
Apple,48.5,20.6,9.5,361.9,Carb-Rich
Tofu,13.0,23.4,35.8,467.8,Fat-Rich
Chicken,46.7,0.2,0.8,194.8,Carb-Rich
Tofu,17.8,4.1,0.5,92.1,Carb-Rich
Lentils,12.9,30.4,20.6,358.6,Protein-Rich
Beans,9.6,8.6,23.9,287.9,Fat-Rich
Eggs,12.3,18.9,13.4,245.4,Protein-Rich
Lentils,12.5,36.2,6.5,253.3,Protein-Rich
Rice,57.2,10.9,10.1,363.3,Carb-Rich
Yogurt,13.6,42.3,17.0,376.6,Protein-Rich
Yogurt,77.1,18.1,9.9,469.9,Carb-Rich
Salmon,54.5,24.2,39.7,672.1,Carb-Rich
Cheese,29.6,31.1,27.3,488.5,Protein-Rich
Almonds,71.1,17.6,33.2,653.6,Carb-Rich
Paneer,41.5,18.3,20.6,424.6,Carb-Rich
Milk,29.1,47.9,36.3,634.7,Protein-Rich
Eggs,34.6,46.7,9.7,412.5,Protein-Rich
